nombre;localidad;direccion;telefono;email;web;instagram;estilo;prioridad;estado;notas
Mandala Yoga Santa Pola;Santa Pola;;;;;facebook.com/yogasantapola;Yoga;B;pendiente;Solo Facebook localizado.
Bikram Yoga Spain San Juan;San Juan de Alicante;Zona Playa de San Juan;;;bikramyogaspain.es;;Bikram, Vinyasa, Pilates, Hipopresivos;C;pendiente;Perfil de calor y fitness. Encaje bajo.
YOGA PRANA Y AMA;Elche;C/ Josep Maria Buck 14, 3 Dcha;;;;;Kundalini Yoga;A;pendiente;Kundalini. Ya cantan mantras en clase. Encaje directo.
Asociacion Atenea Elche;Elche;C/ Metge Diego Navarro 2, bajo;;;;;Yoga holistico;A;pendiente;Asociacion, no negocio. Suelen ceder sala sin problema.
Sala Om Yoga;Elche;C/ Nazario Gonzalez Monteagudo 12;;;;;Yoga tradicional;A;pendiente;El nombre ya dice por donde van.
Espigol salut natural;Elche;C/ Federico Garcia Lorca 2, 2 Izq;;;;;Terapias holisticas y yoga;A;pendiente;Centro de terapias, programa talleres con frecuencia.
Shambala Paz y Bienestar;Elche;C. de Negocios l Aljub, C/ Jacarilla 1;;;;;Yoga y bienestar;A;pendiente;Perfil budista y de bienestar. Abierto a talleres.
sidhartayoga;Elche;Av. de la Llibertat 75;;;;;Hatha y yoga dinamico;B;pendiente;Nombre sanscrito, perfil tradicional.
Annapurna Aventura Yoga;Elche;Avinguda de Novelda 28, 03206;600 87 84 60;;;;Hatha Yoga;B;pendiente;
Do Yoga Center;Elche;C/ Reina Victoria 140A, 03201;669 16 24 80;;;;Yoga tradicional y terapeutico;B;pendiente;Centro consolidado y bien valorado.
Escuela Internacional de Yoga Elche;Elche;C/ Dr. Sapena 26, 03204;661 380 283;;escueladeyoga.com;;Escuela con formacion de profesores;B;pendiente;Es una sede de red nacional. Puede haber que hablar con central.
BandhaYoga;Elche;C/ Mariano Luina 42;;;;;Vinyasa, Hatha, dinamico;B;pendiente;
Centro Mas Yoga Elche;Elche;C/ Josep Maria Buck 40;;;;;Yoga;B;pendiente;
yoga transforma;Elche;C/ Benito Perez Galdos 12;;;;;Yoga transformacional;B;pendiente;
Yoga Elche. Susi Mas;Elche;C/ Antonio Pascual Quiles 57, 03201;618 08 66 28;;;;Prenatal y postnatal;C;pendiente;Publico muy especifico. Encaje bajo.
YogaElx Centro de Yoga Iyengar;Elche;C/ Cristobal Sanz 27, bajo, 03201;668 82 16 01;;yogaelx.com;;Iyengar;C;pendiente;Iyengar es tecnico y de alineacion. Rara vez cantan.
Maite Dura Yoga Iyengar;Elche;C/ Hilarion Eslava 12;;;;;Iyengar;C;pendiente;Mismo motivo que YogaElx.
Inspire Studio Pilates Yoga & Wellness;Elche;Av. de la Universitat d Elx 40;;;;;Yoga y Pilates;C;pendiente;Perfil fitness.
Carla Van der Vaart Pilates;Elche;Av. de la Universitat d Elx 15;;;;;Pilates y yoga;C;pendiente;Perfil fitness.
No solo pilates;Elche;C/ Vicente Perez Bellot 19;;;;;Pilates y yoga;C;pendiente;Perfil fitness.
Althaia Yoga Center;Benidorm;Av. de Europa 8, 03503;;;;;Yoga;B;pendiente;45 min de coche. Agrupar con otro de Benidorm el mismo dia.
Centro de Yoga Lotus;Benidorm;C/ Maravall 3, local 1B;669 43 91 86;;;;Yoga;B;pendiente;45 min de coche.
Escuela Yoga Raices;Benidorm;C/ del Marques de Comillas 27, 03501;;;;;Yoga;B;pendiente;45 min de coche.
Escuela RYLS Yoga (Rosa Yoga Lifestyle);Benidorm;C/ Martinez Oriola 2, 03501;;;;;Yoga;B;pendiente;45 min de coche. Cerca del Colegio Lope de Vega.
Mas Flow Studio;Benidorm;;;;;;Flow;C;pendiente;Perfil fitness.
Studio OZ;l Alfas del Pi;Zona Paseo Maritimo;;;;;Yoga;C;pendiente;Fuera de Benidorm, cerca de l Alfas.
